participant,I,i,I7,i7,viio,viiø7,viio7,iii,III,iii7,III7,vi,VI,vi7,VI7,ii,iio,ii7,iiø7,IV,iv,IV7,iv7,N6,It6,Fr6,Ger6,V/V,V7/V,viio/V,viio7/V,How attracted,block,group
1,5.454,3.501,4.575,4.583,6.113,4.794,4.82,5.504,6.054,6.223,5.673,6.248,5.242,5.944,5.428,6.231,6.011,5.217,5.715,5.699,5.259,4.727,5.859,5.2,4.499,4.583,5.006,6.738,6.763,5.175,5.783,na,1,prolific
2,5.656,6.189,3.206,5.555,3.645,1.693,3.07,3.096,3.645,6.603,4.448,4.854,5.851,2.792,5.251,4.786,4.059,3.89,3.366,5.504,3.679,2.251,3.172,3.789,2.817,2.056,5.242,5.766,3.78,1.744,3.696,na,1,prolific
3,4.346,6.4,5.749,4.507,6.341,6.518,5.487,5.53,6.932,6.696,6.485,6.425,4.389,5.361,4.963,7,4.465,6.561,6.087,6.087,6.856,5.69,5.285,5.724,3.332,5.623,6.569,5.631,6.265,4.651,5.504,na,1,prolific
4,3.197,6.831,6.392,4.059,6.028,4.913,4.515,7,6.679,5.732,6.214,4.71,5.986,5.572,6.62,5.496,6.282,5.056,4.617,7,5.31,6.011,3.003,6.206,4.921,6.527,4.668,6.07,6.899,6.366,3.907,na,1,prolific
5,6.214,6.383,6.223,6.003,4.575,6.011,6.037,5.69,6.67,4.287,5.631,3.628,6.248,3.535,5.885,6.704,5.918,4.558,5.344,6.594,5.986,4.887,6.544,6.079,5.597,4.025,6.417,5.039,6.079,4.532,6.417,na,1,prolific
6,6.323,3.361,2.51,2.548,1.484,6.226,1.213,7,3.865,1.29,2.413,4.929,4.329,4.445,1.735,5.432,1.619,4.368,2.277,6.497,4.232,1.426,3.439,6.245,3.11,1.523,1.503,6.284,3.535,4.581,1.329,na,1,prolific
7,5.023,6.324,4.067,3.158,2.969,2.834,4.71,5.09,3.434,6.839,2.979,6.492,3.924,5.689,2.614,4.254,3.645,4.218,3.051,3.282,3.621,1.214,3.941,3.183,1.963,1.085,1.989,6.315,3.55,1.642,3.443,na,1,prolific
8,5.361,4.777,1.997,4.059,6.121,1.034,4.389,5.437,4.059,4.837,4.499,4.118,4.127,5.994,4.946,6.13,4.169,4.499,5.107,4.101,4.228,4.397,4.211,3.831,3.746,4.101,4.372,5.301,4.997,4.304,4.431,na,1,prolific
9,5.597,6.13,4.515,4.989,4.406,5.006,3.73,4.355,5.031,3.332,5.479,4.642,6.552,4.955,5.048,6.138,4.93,5.149,6.07,4.997,6.054,6.155,4.592,5.082,3.823,4.997,5.031,7,5.149,5.53,3.915,na,1,prolific
10,4.524,4.431,4.592,3.366,4.532,5.538,5.183,4.727,4.701,3.907,2.673,3.315,6.569,3.941,6.721,5.648,4.042,6.324,5.555,3.493,5.056,3.476,5.563,2.977,3.163,4.228,5.301,6.07,5.521,2.2,3.146,na,1,prolific
11,5.065,1.017,6.138,4.211,4.059,5.073,6.307,2.056,6.172,6.949,4.938,5.851,3.958,6.223,4.059,6.949,5.732,5.006,5.318,5.014,6.037,5.014,4.059,5.023,6.155,5.234,1.008,7,7,7,6.949,na,1,prolific
12,4.963,6.037,6.89,6.687,6.248,6.239,5.927,6.518,5.766,5.961,6.544,5.31,5.589,4.98,5.715,5.977,5.048,6.459,7,4.997,6.586,6.823,6.603,6.746,5.648,5.242,6.341,5.69,6.189,5.656,5.952,na,1,prolific
13,2.58,1.955,1.862,6.214,5.158,5.31,2.454,3.501,4.955,5.935,3.037,5.006,4.744,4.972,2.369,4.938,3.78,1.938,4.059,6.096,3.434,1.963,2.454,2.437,2.792,1.101,4.228,4.811,1.152,4.887,3.299,na,1,prolific
14,2.437,6.104,1.313,6.265,4.262,6.434,6.146,5.056,4.879,4.059,5.91,6.992,6.256,2.986,4.127,2.876,1.008,2.403,1.938,5.082,4.972,3.823,2.868,4.059,6.087,2.682,2.732,6.899,3.079,2.58,2.952,na,1,prolific
15,5.048,4.059,4.034,4.059,2.479,4.059,2.006,1.972,5.082,2.369,2.969,5.572,5.538,1.913,1.854,4.051,4.059,1.93,2.09,5.479,2.411,1.346,1.913,2.487,2.986,2.377,2.53,6.028,2.969,5.031,1.98,na,1,prolific
16,5.454,4.152,4.786,3.332,4.735,3.839,3.637,5.724,4.245,6.78,4.152,5.53,4.321,4.059,4.482,3.603,4.304,4.439,4.059,5.149,4.059,3.654,3.873,4.558,5.825,5.183,4.499,5.183,4.482,4.465,5.251,na,1,prolific
17,5.597,6.028,5.42,5.597,5.623,5.056,6.256,4.828,5.606,4.473,5.2,6.527,6.113,4.245,4.515,4.625,5.479,4.38,6.392,5.217,5.141,4.541,4.921,6.223,4.617,3.915,4.854,6.78,6.155,5.006,3.577,na,1,prolific
18,6.045,1.904,5.563,2.952,2.952,1,1.93,5.53,1.887,2.462,2.961,3.992,6.07,1.008,3.501,1.473,1.93,1.414,1.008,2.961,3.468,2.462,1.913,2.47,2.961,1.008,5.014,4.49,5.014,2.961,1,na,1,prolific
19,6.248,5.367,4.532,5.225,5.175,4.92,5.868,5.393,5.719,5.384,4.549,4.397,5.386,4.389,4.794,4.765,4.769,5.126,4.735,4.946,5.41,4.567,4.668,5.057,4.71,5.023,5.377,5.315,4.769,4.49,4.731,na,1,prolific
20,4.575,4.059,5.682,6.206,5.031,5.014,6.07,6.654,6.028,5.944,3.544,5.961,5.073,4.059,4.651,4.6,4.245,7,5.606,5.099,6.054,4.558,5.538,5.648,3.806,2.91,5.039,4.465,5.039,4.118,4.6,na,1,prolific
1,4.659,4.27,3.163,4.177,4.456,3.823,4.33,3.932,4.228,3.561,2.927,4.896,5.656,5.487,4.837,5.394,6.079,5.183,4.558,4.558,5.048,4.22,4.904,4.346,5.623,3.569,4.397,4.507,5.107,5.276,4.22,na,2,prolific
2,3.349,5.437,3.738,4.854,4.304,3.282,3.02,3.611,4.6,3.738,2.454,3.223,2.918,2.715,3.332,2.031,4.321,3.823,5.242,5.8,3.273,2.454,3.07,2.039,1.837,2.817,2.859,1.668,4.186,4.186,4.237,na,2,prolific
3,6.408,6.425,5.048,4.904,6.518,5.115,6.51,7,6.51,3.485,6.468,6.527,6.527,5.023,4.575,6.079,6.197,6.425,5.572,5.048,6.569,5.031,4.6,5.546,5.031,6.138,5.749,6.087,5.039,4.566,5.58,na,2,prolific
4,5.538,4.296,4.955,5.673,5.859,5.918,5.538,4.575,6.518,3.611,3.054,3.746,6.518,5.377,5.023,5.969,5.496,4.955,2.893,5.132,4.515,4.177,4.735,4.625,5.377,5.589,6.189,5.141,4.608,5.31,4.803,na,2,prolific
5,6.332,6.687,6.062,6.07,4.49,5.428,5.885,6.282,6.628,3.975,6.096,5.006,6.518,4.989,6.028,6.713,6.67,5.555,6.527,6.645,6.73,5.944,6.544,6.121,6.51,6.823,6.096,6.366,6.586,6.408,6.51,na,2,prolific
6,6.632,2.703,7,5.219,5.761,4.31,3.187,5.587,4.329,6.032,3.032,7,6.555,6.245,3.497,5.413,4.561,6.342,3.535,7,4.194,6.071,4.039,6.265,2.858,3.806,3.71,6.632,4.348,6.613,1.194,na,2,prolific
7,4.994,6.066,4.199,3.533,4.104,4.207,2.669,5.02,4.061,6.032,2.377,5.089,4.507,3.907,1.854,4.104,2.072,5.42,3.101,4.539,4.389,1.448,4.726,5.046,1.83,2.141,3.478,6.533,3.395,3.392,3.991,na,2,prolific
8,6.155,4.98,4.127,1.008,6.07,5.065,1.896,7,2.952,1.008,7,6.045,2.986,3.011,6.138,6.087,4.059,7,1.879,6.163,6.975,1.87,1.008,4.059,1.997,1.93,4.101,4.059,5.006,5.073,5.065,na,2,prolific
9,6.121,4.465,5.039,4.338,5.42,3.392,4.837,5.014,3.628,4.676,4.566,4.448,5.994,5.825,5.901,5.834,6.155,5.301,6.189,5.487,4.972,5.394,5.741,5.031,4.963,5.893,5.048,6.087,6.121,6.096,6.062,na,2,prolific
10,2.318,2.166,3.476,2.851,2.673,4.406,4.439,5.369,3.89,5.251,3.104,4.11,3.011,2.935,3.738,3.442,2.673,2.327,3.485,3.341,3.476,3.958,3.476,2.352,1.752,3.882,2.758,4.254,2.817,1.862,1.482,na,2,prolific
11,4.051,4.059,1.921,5.014,5.944,5.039,1.008,5.91,3.206,4.059,1.862,1.963,1.008,4.161,1.262,1.98,5.986,2.952,6.054,4.034,1.034,2.961,2.935,4.059,5.056,2.927,4.059,1.008,2.977,5.124,3.07,na,2,prolific
12,5.901,4.838,6.738,5.701,6.316,5.308,5.094,5.974,5.094,6.744,5.179,6.4,4.479,6.062,4.152,5.803,4.06,6.907,5.014,6.632,6.4,6.726,4.837,4.059,3.769,5.648,5.077,4.161,5.301,4.06,4.359,na,2,prolific
13,3.054,5.53,4.854,5.42,2.623,4.059,2.994,4.059,1.482,2.513,5.09,5.47,2.327,3.425,2.58,5.293,5.479,4.938,2.623,2.648,5.741,4.355,3.003,2.251,4.786,2.986,2.335,3.214,2.183,4.059,3.434,na,2,prolific
14,6.028,6.349,5.775,3.07,4.794,2.132,3.459,3.552,5.513,2.411,4.642,2.639,3.721,3.468,6.13,2.665,2.614,2.69,2.741,5.327,5.775,2.445,3.501,2.918,5.91,3.594,2.724,2.082,5.749,5.851,3.763,na,2,prolific
15,6.121,4.465,4.254,2.538,3.797,1.93,2.851,5.039,5.969,2.614,1.862,5.927,5.521,2.462,2.994,4.051,3.544,3.501,3.451,6.307,4.118,2.403,2.885,5.327,3.425,2.538,3.4,5.513,3.155,4.862,1.955,na,2,prolific
16,3.823,5.099,5.285,4.11,4.059,4.777,4.194,6.231,5.589,5.251,5.124,3.67,4.769,4.87,4.482,4.372,4.186,4.254,4.499,4.338,5.369,4.499,4.211,4.887,3.696,5.056,4.135,5.546,4.803,5.572,4.575,na,2,prolific
17,7,3.383,5.665,3.315,4.059,6.882,4.228,4.059,4.059,5.538,4.634,6.493,4.059,6.045,4.972,4.059,5.648,4.389,5.073,5.513,6.797,5.318,5.082,6.755,5.58,5.377,5.631,5.597,5.563,5.124,5.817,na,2,prolific
18,6.07,1.904,6.062,3.992,2.454,1.913,1.008,7,4.532,5.023,3.983,5.513,5.014,2.952,1.946,3.992,2.935,5.555,4.532,7,5.597,3.983,5.006,1.921,1.008,1.008,3.493,5.58,2.944,5.006,1.431,na,2,prolific
19,4.676,4.887,5.183,4.423,4.794,4.38,5.132,4.642,5.09,4.777,5.132,4.904,5.563,4.651,4.879,4.439,5.293,4.701,5.149,5.107,4.811,4.634,4.854,4.845,5.141,4.879,4.98,4.6,4.82,4.98,4.794,na,2,prolific
20,4.051,4.541,4.059,4.617,5.014,5.056,4.051,4.532,4.059,4.989,5.082,5.513,5.082,4.059,5.656,5.048,5.132,5.099,4.634,4.896,4.313,4.608,5.023,4.118,4.059,4.558,4.845,3.958,4.98,4.372,4.634,na,2,prolific
41,2.251,2.783,1.008,1.177,3.637,4.482,4.955,1.608,5.901,3.307,4.118,5.242,4.338,3.637,6.577,4.017,4.676,3.823,6.214,3.096,5.487,3.155,4.651,5.825,6.265,2.099,5.656,5.023,4.82,3.501,4.059,"For me the chords that were the most attracted to 3 were the ones with a number of tendency tones that made sense to my ears. There were chords that had many tendency tones, but for me I had wanted to hear another (not the one presented) chord after 2, which was a bit jarring. ",1,freshman
42,3.366,2.276,1.955,5.758,1.896,5.42,7,1.008,3.003,3.341,7,1.177,4.059,3.501,5.766,2.699,4.685,2.496,6.915,4.059,3.603,4.6,5.09,4.355,3.552,7,4.473,6.915,5.056,5.056,5.58,The most attractive sounds had a feeling of weightlessness that falls perfectly into place. They felt like they had no choice but to lead to one another.,1,freshman
43,1.879,2.563,3.637,4.279,2.42,5.115,6.696,4.101,4.82,3.662,6.155,1.127,1,4.566,6.983,4.431,6.138,3.079,5.901,1.161,5.039,5.555,4.059,4.059,5.411,6.07,5.749,4.363,5.056,3.163,5.792,The most attracted sounds were ones that had lots of dissonance in the second chord which would resolve up or down by a half step by the third chord.,1,freshman
44,6.062,5.842,6.51,4.397,6.713,4.33,5.513,5.969,5.53,2.623,6.518,4.668,6.603,5.842,3.983,6.392,5.91,2.842,3.383,4.482,4.879,5.69,3.603,5.285,4.541,2.952,5.563,5.479,5.242,5.039,4.448,"If a dissonant chord resolved, I would usually mark it as more attracted because it finished something that felt unfinished. When it moved from a consonant to a consonant, it was more if it felt like it was going to an ending, or if the move between major to/from minor felt like a pull.",1,freshman
45,6.045,6.763,4.955,5.741,4.668,1.845,6.163,5.082,7,6.121,6.78,6.941,6.29,2.039,3.011,7,5.183,6.983,4.761,6.054,6.941,5.183,6.704,6.096,5.994,5.065,6.146,6.966,6.975,4.566,5.082,They formed a pattern that could end in a satisfying resolution. ,1,freshman
46,6.113,6.451,1.321,6.028,5.834,2.403,2.403,4.6,3.882,1.989,4.059,4.989,5.462,1.33,1.786,4.87,4.161,4.659,6.02,4.203,3.375,6.518,2.935,4.059,5.631,5.563,5.056,5.073,6.89,6.51,2.834,The most attracted sounds had the tendency to feel like they need to be resolved.,1,freshman
47,3.375,6.915,2.487,5.538,6.434,4.592,6.89,6.29,3.079,4.059,6.544,3.679,4.997,3.535,3.079,5.918,5.344,1.794,4.237,5.648,6.273,1.262,5.513,5.656,6.746,4.507,6.442,6.501,3.992,5.115,6.535,the more dissonant intervals sounded most attracted. ,1,freshman
48,5.023,5.428,2.969,2.952,3.527,1.946,4.549,3.003,2.969,2.977,2.969,4,5.039,1.963,5.073,2.961,4.059,4,5.623,3.493,4.558,3.459,4.532,4.532,4.575,2.496,5.031,4.059,4,5.039,3.561,it is in minor key,1,freshman
49,3.983,4.059,1.938,2.961,4.059,4.059,2.977,4.059,4.059,4.059,4.059,4.059,6.096,5.056,4.059,4.98,3.011,5.048,5.006,6.045,6.028,4.059,4.051,6.096,5.039,4.025,6.121,4.532,5.082,3.975,1.887,The most attractive sounds seemed to be in a minor key with the leading tone raised.,1,freshman
50,2.825,5.479,1.676,3.07,4.634,2.58,5.572,2.454,5.699,2.885,4.794,4.896,5.749,1.685,4.059,6.07,4.237,6.315,4.718,4.313,2.606,4.017,5.208,1.921,3.459,5.031,3.721,5.868,5.361,6.552,5.411,They had tension that where I could anticipate the resolution. I would sing the next note in my head and if it went there it was more attracted for me.,1,freshman
51,4.49,4.71,2.977,4.532,2.944,2.961,4.169,3.958,3.239,5.504,4.101,4.617,5.859,3.434,3.172,4.11,6.113,4.49,5.242,3.527,5.006,4.634,5.623,3.4,2.885,4.017,4.076,2.538,3.577,3.992,4.651,"The more major tones, diminished, and augmented chords.",1,freshman
52,4.93,5.808,4.718,5.369,4.777,5.842,6.146,6.451,5.927,5.766,5.268,6.163,5.403,5.994,5.901,6.704,6.248,6.552,6.349,5.969,6.146,5.614,6.239,5.377,6.332,5.268,4.93,6.273,5.318,5.487,5.394,The most attracted sounds were much fuller. Especially sound 3 was more full than less attracted sound 3's.,1,freshman
53,7,7,6.552,7,4.515,2.445,6.062,5.454,6.062,5.546,1,6.07,7,5.023,6.07,5.538,7,7,7,7,7,3.966,1.921,4.499,2.944,5.006,6.062,7,2.952,7,4.499,"I would like to say C-F-G-C as it is 1-4-5-1, also diminished chords as leading tones to dominant (G) or to tonic (C) were the most attracted sounds.",1,freshman
54,3.746,5.149,3.045,1.955,5.124,6.18,5.107,5.107,3.535,3.062,4.059,5.124,5.115,3.045,1.575,4.642,5.09,5.115,6.104,6.146,4.059,4.059,3.045,2.014,1,5.107,6.172,6.096,5.631,6.459,5.107,"When it is more chordal and one, not dissonant. ",1,freshman
55,4.648,3.488,4.095,4.269,4.754,6.226,6.021,3.021,2.814,4.075,5.332,5.787,3.4,3.596,6.427,5.372,5.894,5.131,6.457,4.53,4.96,4.819,4.063,4.952,6.605,7,6.039,5.503,6.104,6.91,4.059,more non chord tones or chromatics,1,freshman
56,5.115,6.163,6.89,6.992,4.465,5.065,1.794,6.096,3.518,4,4.237,7,6.113,5.394,5.141,4.93,5.242,4.279,4.406,6.13,5.318,2.994,5.834,4.346,3.459,3.577,2.631,4.076,6.958,4.49,3.476,If the next chord resolves the chord before. ,1,freshman
57,1.538,1.334,1.378,1.005,2.619,1,3.927,1,1,1.015,1.456,1.616,2.856,1,1.431,6.869,1.228,2.183,1.62,6.758,5.541,4.267,1.601,1.141,2.226,1.819,1.669,1.291,3.433,3.452,2.105,"Major, especially five and seven sounds good ",1,freshman
58,6.054,3.527,5.572,5.513,2.961,1.938,3.231,6.104,2.994,4.059,5.031,6.476,4.997,2.327,7,6.603,4.38,6.062,7,6.037,5.09,5.521,7,1.439,1,5.023,7,1.287,7,3.941,1.921,"I think for me when the sounds move in common harmonic progressions like from Tonic to Predominant to Dominant, they usually sound attracted. Also, when there is dissonant in the chord and it is resolved in the next chord, they sound attracted.",1,freshman
59,7,5.056,4.059,1.946,4.059,3.079,4.059,4.017,6.696,1.93,5.023,7,5.039,2.977,1,7,4.076,6.079,6.577,7,7,3.011,5.977,2.944,6.087,2.961,6.096,6.104,6.037,5.023,1.904,leading tones. a sense of direction that t had to land there. ,1,freshman
